------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         20   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)z     (m) y           (m) x           (deg)         (deg)           (m)              (-)
0.0000000E+00 -0.4670000E+00 -0.4000000E-06 0.0000000E+00  0.0000000E+00  1.87E+00        1
2.7500000E+00 -0.3440000E+00  9.9980000E-02 0.0000000E+00  1.4000000E+01  2.48E+00        2
5.2500000E+00 -0.2569074E+00  9.7506400E-02 0.0000000E+00  2.2000000E+01  3.34E+00        3
7.7500000E+00 -3.7877530E+00  2.0570000E-02 0.0000000E+00  1.8000000E+01  3.79E+00        4
1.0250000E+01 -2.3946000E-01 -4.0600000E-02 0.0000000E+00  1.6000000E+01  3.89E+00        5
1.2750000E+01 -2.2385639E-01 -1.0480480E-01 0.0000000E+00  1.4000000E+01  3.66E+00        6
1.5250000E+01 -2.3257910E-01 -8.3185500E-02 0.0000000E+00  1.2000000E+01  3.28E+00        7
1.7750000E+01 -2.1086380E-01 -5.3281200E-01 0.0000000E+00  9.0000000E+00  2.91E+00        8
2.0250000E+01 -1.1898600E-01 -3.5880000E-02 0.0000000E+00  8.0000000E+00  2.61E+00        9
2.2750000E+01 -1.7214210E-01 -4.9120000E-02 0.0000000E+00  7.0000000E+00  2.36E+00        10
2.5250000E+01 -1.5587860E-01 -4.5072600E-02 0.0000000E+00  6.0000000E+00  2.14E+00        11
2.7750000E+01 -1.4298220E-01 -3.6162100E-02 0.0000000E+00  4.0000000E+00  1.94E+00        12
3.0250000E+01 -1.2933790E-01 -2.9599700E-02 0.0000000E+00  3.0000000E+00  1.76E+00        13
3.2750000E+01 -1.1612920E-01 -2.5527800E-02 0.0000000E+00  2.0000000E+00  1.61E+00        14
3.5250000E+01 -1.0973240E-01 -4.7905700E-02 0.0000000E+00  2.0000000E+00  1.48E+00        15
3.7750000E+01 -1.0073900E-01 -5.2447700E-02 0.0000000E+00  1.0000000E+00  1.36E+00        16
4.0250000E+01 -9.2224660E-02 -5.2980000E-02 0.0000000E+00  1.0000000E+00  1.24E+00        17
4.2750000E+01 -8.8250680E-02 -4.8506800E-02 0.0000000E+00  0.0000000E+00  1.10E+00        18
4.5250000E+01 -6.7322300E-02 -4.1604700E-02 0.0000000E+00  0.0000000E+00  0.90E+00        19
4.8400000E+01 -3.1216900E-02 -1.8578700E-02 0.0000000E+00  0.0000000E+00  0.40E+00        20
